low,2.46,25/03/2022 20:50:00
low,2.38,25/03/2022 20:55:00
low,2.46,25/03/2022 21:00:00
low,2.17,25/03/2022 21:05:00
low,2.03,25/03/2022 21:10:00
low,1.93,25/03/2022 21:15:00
low,1.77,25/03/2022 21:20:00
l,1.65,25/03/2022 21:25:00
low,1.68,25/03/2022 21:30:00
low,1.63,25/03/2022 21:35:00
low,1.60,25/03/2022 21:40:00
low,2.96,25/03/2022 21:45:00
low,3.67,25/03/2022 21:50:00
lo,3.09,25/03/2022 21:55:00
low,2.6,25/03/2022 22:00:00
low,2.62,25/03/2022 22:05:00
low,2.78,25/03/2022 22:10:00
low,3.14,25/03/2022 22:15:00
low,3.18,25/03/2022 22:20:00
low,3.23,25/03/2022 22:25:00
low,2.74,25/03/2022 22:30:00
low,2.58,25/03/2022 22:35:00
low,2.78,25/03/2022 22:40:00
l,2.83,25/03/2022 22:45:00
low,2.46,25/03/2022 22:50:00
low,2.46,25/03/2022 22:55:00
low,2.35,25/03/2022 23:00:00
low,2.24,25/03/2022 23:05:00
low,2.13,25/03/2022 23:10:00
low,2.13,25/03/2022 23:15:00
low,2.,25/03/2022 23:20:00
low,2.27,25/03/2022 23:25:00
low,2.31,25/03/2022 23:30:00
low,2.06,25/03/2022 23:35:00
low,2.06,25/03/2022 23:40:00
low,2.,25/03/2022 23:45:00
low,1.80,25/03/2022 23:50:00
low,1.77,25/03/2022 23:55:00
low,1.68,26/03/2022 00:00:00
low,1.68,26/03/2022 00:05:00
low,1.63,26/03/2022 00:10:00
low,1.63,26/03/2022 00:15:00
low,1.63,26/03/2022 00:20:00
lo,1.57,26/03/2022 00:25:00
low,1.,26/03/2022 00:30:00
low,1.54,26/03/2022 00:35:00
low,1.46,26/03/2022 00:40:00
low,1.49,26/03/2022 00:45:00
low,1.46,26/03/2022 00:50:00
low,1.38,26/03/2022 00:55:00
low,1.41,26/03/2022 01:00:00
low,1.43,26/03/2022 01:05:00
low,1.3,26/03/2022 01:10:00
low,1.38,26/03/2022 01:15:00
lo,1.41,26/03/2022 01:20:00
low,1,26/03/2022 01:25:00
low,1.36,26/03/2022 01:30:00
low,1.38,26/03/2022 01:35:00
low,1.38,26/03/2022 01:40:00
low,1.38,26/03/2022 01:45:00
low,1.41,26/03/2022 01:50:00
lo,1.41,26/03/2022 01:55:00
low,1.41,26/03/2022 02:00:00
low,1.43,26/03/2022 02:05:00
lo,1.38,26/03/2022 02:10:00
low,1.36,26/03/2022 02:15:00
low,1.,26/03/2022 02:20:00
l,1.38,26/03/2022 02:25:00
low,1.3,26/03/2022 02:30:00
low,1.36,26/03/2022 02:35:00
low,1.38,26/03/2022 02:40:00
low,1.31,26/03/2022 02:45:00
low,1.36,26/03/2022 02:50:00
low,1.36,26/03/2022 02:55:00
low,1.36,26/03/2022 03:00:00
low,1.38,26/03/2022 03:05:00
low,1.43,26/03/2022 03:10:00
lo,1.36,26/03/2022 03:15:00
low,1.36,26/03/2022 03:20:00
low,1.36,26/03/2022 03:25:00
lo,1.36,26/03/2022 03:30:00
low,1.36,26/03/2022 03:35:00
low,1.36,26/03/2022 03:40:00
low,1,26/03/2022 03:45:00
low,1.41,26/03/2022 03:50:00
low,1.41,26/03/2022 03:55:00
lo,1.38,26/03/2022 04:00:00
low,1.38,26/03/2022 04:05:00
low,1.,26/03/2022 04:10:00
low,1.36,26/03/2022 04:15:00
low,1.38,26/03/2022 04:20:00
low,1.36,26/03/2022 04:25:00
l,1.36,26/03/2022 04:30:00
low,1.38,26/03/2022 04:35:00
low,1.41,26/03/2022 04:40:00
low,1.43,26/03/2022 04:45:00
low,1.41,26/03/2022 04:50:00
low,1.51,26/03/2022 04:55:00
low,1.49,26/03/2022 05:00:00
low,1.46,26/03/2022 05:05:00
low,1.49,26/03/2022 05:10:00
low,1.,26/03/2022 05:15:00
low,1.63,26/03/2022 05:20:00
lo,1.60,26/03/2022 05:25:00
low,1.60,26/03/2022 05:30:00
low,1.68,26/03/2022 05:35:00
low,1,26/03/2022 05:40:00
low,1.63,26/03/2022 05:45:00
low,1.68,26/03/2022 05:50:00
l,1.68,26/03/2022 05:55:00
low,1,26/03/2022 06:00:00
low,1.68,26/03/2022 06:05:00
low,1.71,26/03/2022 06:10:00
low,1.74,26/03/2022 06:15:00
low,1.93,26/03/2022 06:20:00
low,2.03,26/03/2022 06:25:00
low,1.96,26/03/2022 06:30:00
low,2.06,26/03/2022 06:35:00
lo,2.13,26/03/2022 06:40:00
low,2.46,26/03/2022 06:45:00
low,2.24,26/03/2022 06:50:00
low,2.46,26/03/2022 06:55:00
low,2.50,26/03/2022 07:00:00
low,2.46,26/03/2022 07:05:00
low,2,26/03/2022 07:10:00
low,2.10,26/03/2022 07:15:00
low,2.,26/03/2022 07:20:00
low,2.03,26/03/2022 07:25:00
low,1.96,26/03/2022 07:30:00
low,1.83,26/03/2022 07:35:00
